2026-01-09 17:26:25,902 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:26:25,905 | INFO | test.lifecycle | === SCENARIO: User selects last page directly (known defect) ===
2026-01-09 17:26:25,905 | INFO | test.lifecycle | Browser launch
2026-01-09 17:26:33,753 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:26:33,756 | INFO | pages.discover_page | Page navigation
2026-01-09 17:26:39,303 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:26:39,999 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:26:43,500 | INFO | pages.discover_page | Found 14 total links, looking for page numbers
2026-01-09 17:26:43,940 | INFO | pages.discover_page | Found 7 numeric page links: [1, 2, 3, 4, 527, 528, 529]
2026-01-09 17:26:43,941 | INFO | pages.discover_page | Clicking last page number: 529
2026-01-09 17:26:44,260 | INFO | pages.discover_page | Clicked page number 529
2026-01-09 17:26:44,261 | INFO | pages.discover_page | Successfully clicked last page number: 529
2026-01-09 17:27:02,692 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:27:02,694 | INFO | test.lifecycle | === SCENARIO: Verify Top Rated category filter works ===
2026-01-09 17:27:02,694 | INFO | test.lifecycle | Browser launch
2026-01-09 17:27:08,959 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:27:08,964 | INFO | pages.discover_page | Page navigation
2026-01-09 17:27:10,628 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:27:14,443 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:27:15,456 | INFO | step.verification | step_verify_results called
2026-01-09 17:27:20,988 | INFO | step.verification | Found 20 results
2026-01-09 17:27:20,989 | INFO | step.verification | About to call debug_year_values()
2026-01-09 17:27:21,129 | INFO | pages.discover_page | DEBUG - Start year: '1900', End year: '2025'
2026-01-09 17:27:21,129 | INFO | pages.discover_page | DEBUG - Same year allowed: False
2026-01-09 17:27:21,129 | INFO | step.verification | Finished calling debug_year_values()
2026-01-09 17:27:21,130 | INFO | test.lifecycle | Scenario passed: Verify Top Rated category filter works
2026-01-09 17:27:21,130 | INFO | test.lifecycle | Added passed test result to report: Verify Top Rated category filter works
2026-01-09 17:27:21,130 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:27:23,589 | INFO | test.lifecycle | Browser closed
2026-01-09 17:27:23,594 | INFO | test.lifecycle | === SCENARIO: Verify TV Shows type filter works ===
2026-01-09 17:27:23,595 | INFO | test.lifecycle | Browser launch
2026-01-09 17:27:29,349 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:27:29,359 | INFO | pages.discover_page | Page navigation
